Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-03-03,47.98,48.139999,47.549999,48.049999,43.287907,26700,0
2014-03-04,49.099998,49.32,49.07,49.240002,44.359978,4200,1
2014-03-05,49.279999,49.279999,48.849998,49.049999,44.188816,6500,2
2014-03-06,49.200001,49.259998,48.880001,49.169998,44.296906,8400,3
2014-03-07,49.490002,49.599998,49.119999,49.25,44.368988,22400,4
2014-03-10,49.259998,49.299999,49.029999,49.299999,44.414047,5400,5
2014-03-11,49.91,49.91,48.900002,48.900002,44.053677,8100,6
2014-03-12,48.73,49.130001,48.689999,49.07,44.206837,7500,7
2014-03-13,49.48,49.48,48.369999,48.549999,43.738358,5200,8
2014-03-14,48.700001,48.889999,48.419998,48.5,43.693333,9500,9
2014-03-17,48.889999,49.18,47,49.02,44.161797,2400,10
2014-03-18,49.220001,49.669998,49.220001,49.630001,44.711327,9300,11
2014-03-19,49.75,49.75,49.130001,49.139999,44.269897,7900,12
2014-03-20,49.259998,49.32,49.130001,49.16,44.287918,5400,13
2014-03-21,49.330002,49.619999,48.790001,48.790001,43.996655,14100,14
2014-03-24,49.07,49.07,48,48.389999,43.635933,6800,15
2014-03-25,48.52,48.830002,48,48.130001,43.401482,7500,16
2014-03-26,48.349998,48.349998,47.48,47.529999,42.860435,14500,17
2014-03-27,47.509998,47.599998,47.009998,47.049999,42.427593,10500,18
2014-03-28,47.389999,48.099998,47.389999,47.639999,42.959629,5600,19
2014-03-31,47.82,48.400002,47.82,48.279999,43.536743,9100,20
2014-04-01,48.5,48.91,48.5,48.77,43.978611,7000,21
2014-04-02,49.049999,49.189999,48.950001,49.080002,44.258152,6200,22
2014-04-03,49.279999,49.330002,48.73,48.77,43.978611,6300,23
2014-04-04,49.18,49.18,47.75,47.830002,43.130974,4200,24
2014-04-07,47.77,47.779999,46.709999,46.779999,42.184124,16900,25
2014-04-08,47.049999,47.389999,46.790001,47.240002,42.598927,21500,26
2014-04-09,47.240002,47.580002,47.049999,47.57,42.896503,5700,27
2014-04-10,47.16,47.599998,46.259998,46.459999,41.895546,7700,28
2014-04-11,45.82,46.290001,45.52,45.66,41.174156,39900,29
2014-04-14,46.23,46.369999,45.59,45.889999,41.381557,18700,30
2014-04-15,45.790001,47.91,45.18,45.799999,41.300396,40400,31
2014-04-16,46.080002,46.259998,46.040001,46.189999,41.652084,6800,32
2014-04-17,46.279999,46.380001,46.209999,46.220001,41.679142,4100,33
2014-04-21,46.360001,46.459999,46.119999,46.310001,41.760296,7800,34
2014-04-22,46.610001,47.189999,46.610001,47.18,42.544819,4000,35
2014-04-23,47,47.02,46.66,46.860001,42.256252,5200,36
2014-04-24,46.650002,46.810001,46.540001,46.619999,42.039822,4600,37
2014-04-25,46.400002,46.400002,45.939999,46.02,41.498787,21400,38
2014-04-28,45.810001,46.459999,45.169998,45.869999,41.363506,6800,39
2014-04-29,46.27,46.27,46.060001,46.16,41.625027,2500,40
2014-04-30,45.970001,46.470001,45.740002,46.34,41.787342,11000,41
2014-05-01,46.360001,46.869999,46.200001,46.32,41.769314,2900,42
2014-05-02,47.259998,47.259998,46.93,46.939999,42.3284,2000,43
2014-05-05,46.529999,46.68,46.43,46.619999,42.039822,6200,44
2014-05-06,46.580002,46.580002,45.919998,45.919998,41.408607,5400,45
2014-05-07,45.66,45.919998,45.049999,45.630001,41.147102,2900,46
