Timestamp,personality_irl,personality_online,friends_irl,friends_online
4/3/2024 23:16:13,Introvert,Introvert,4,3
4/3/2024 23:53:01,Introvert,Introvert,4,5
4/5/2024 9:24:04,Extrovert,Introvert,7,7
4/5/2024 9:25:14,Introvert,Extrovert,8,5
4/5/2024 9:29:03,Extrovert,Extrovert,4,3
4/5/2024 9:37:50,Extrovert,Introvert,2,1
4/5/2024 9:41:15,Introvert,Introvert,2,1
4/5/2024 9:41:19,Introvert,Introvert,1,1
4/5/2024 9:46:15,Extrovert,Extrovert,2,0
4/5/2024 9:48:30,Extrovert,Extrovert,6,5
4/5/2024 9:49:34,Extrovert,Extrovert,5,5
4/5/2024 9:50:01,Extrovert,Extrovert,10,10
4/5/2024 9:55:17,Extrovert,Extrovert,4,10
4/5/2024 9:57:16,Extrovert,Introvert,5,1
4/5/2024 10:04:08,Introvert,Introvert,3,10
4/5/2024 10:05:36,Introvert,Extrovert,5,5
4/5/2024 10:06:49,Extrovert,Introvert,5,0
4/5/2024 10:09:26,Introvert,Extrovert,3,5
4/5/2024 10:18:22,Introvert,Extrovert,1,1
4/5/2024 10:21:06,Introvert,Extrovert,1,10
4/5/2024 10:29:59,Introvert,Extrovert,1,5
4/5/2024 10:31:23,Extrovert,Extrovert,9,10
4/5/2024 10:34:18,Extrovert,Extrovert,5,10
4/5/2024 10:34:44,Introvert,Introvert,3,3
4/5/2024 10:38:09,Introvert,Introvert,3,1
4/5/2024 10:41:02,Introvert,Extrovert,3,2
4/5/2024 10:41:08,Introvert,Introvert,5,2
4/5/2024 10:41:50,Introvert,Introvert,10,1
4/5/2024 10:46:05,Extrovert,Extrovert,1,2
4/5/2024 10:52:10,Extrovert,Introvert,2,2
4/5/2024 10:53:50,Extrovert,Introvert,5,8
4/5/2024 10:54:12,Introvert,Introvert,5,7
4/5/2024 10:54:44,Introvert,Extrovert,1,3
4/5/2024 10:55:32,Extrovert,Extrovert,2,2
4/5/2024 10:55:46,Introvert,Introvert,3,4
4/5/2024 10:56:55,Extrovert,Extrovert,5,1
4/5/2024 10:57:48,Extrovert,Introvert,5,2
4/5/2024 10:58:43,Introvert,Extrovert,2,5
4/5/2024 10:59:28,Introvert,Introvert,2,10
4/5/2024 10:59:35,Introvert,Extrovert,3,3
4/5/2024 11:01:08,Extrovert,Extrovert,1,1
4/5/2024 11:05:35,Extrovert,Extrovert,5,8
4/5/2024 11:06:23,Introvert,Introvert,2,3
4/5/2024 11:06:40,Introvert,Extrovert,2,4
4/5/2024 11:07:09,Introvert,Extrovert,2,2
4/5/2024 11:08:55,Extrovert,Extrovert,4,10
4/5/2024 11:09:41,Introvert,Introvert,1,1
4/5/2024 11:09:47,Introvert,Introvert,6,10
4/5/2024 11:11:30,Introvert,Extrovert,5,5
4/5/2024 11:11:33,Extrovert,Extrovert,2,1
4/5/2024 11:12:01,Extrovert,Introvert,3,3
