Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
01/26/24,Friday,26.89,Snacks,Food,Debit,Want
01/26/24,Friday,120.00,Clothes,Entertainment and Recreation,Debit,Want
01/26/24,Friday,74.48,Gas,Travel,Debit,Need
01/28/24,Sunday,4.76,Snack,Food,Debit,Want
1/28/24,Sunday,50.38,Phone Bill,Bills,Debit,Need
01/28/24,Sunday,30.12,Gas,Travel,Debit,Need
01/28/24,Sunday,98.43,Food,Food,Debit,Want
01/28/24,Sunday,50.03,Gas,Travel,Debit,Need
01/29/24,Monday,77.27,Gas,Travel,Debit,Need
01/29/24,Monday,53.08,Gas,Travel,Debit,Need
01/29/24,Monday,10.92,Food,Food,Debit,Want
01/29/24,Monday,7.28,Food,Food,Debit,Want
01/30/24,Tuesday,3.65,Food,Food,Debit,Want
1/30/24,Tuesday,30.00,Gas,Travel,Debit,Need
01/30/24,Tuesday,16.57,Food,Food,Debit,Want
01/30/24,Tuesday,14.83,Food,Food,Debit,Want
1/31/24,Wednesday,16.66,Food,Food,Debit,Want
01/31/24,Thursday,40.14,Gas,Travel,Debit,Need
01/31/24,Thursday,16.66,Food,Food,Debit,Want
02/01/24,Friday,23.00,Food,Food,Debit,Want
02/01/24,Friday,30.04,Gas,Travel,Debit,Need
02/01/24,Friday,10.55,Food,Food,Debit,Want
02/01/24,Friday,50.00,Gas,Travel,Debit,Need
02/02/24,Saturday,50.08,Food,Food,Debit,Want
02/03/24,Saturday,75.00,Change Tires,Travel,Debit,Need
02/04/24,Sunday,11.67,Food,Food,Debit,Want
